district,District,Country,District_code
19,19,IDN,1915
2,2,IDN,1916
20,20,IDN,1917
21,21,IDN,1918
22,22,IDN,1919
23,23,IDN,1920
24,24,IDN,1921
25,25,IDN,1922
26,26,IDN,1923
27,27,IDN,1924
28,28,IDN,1925
29,29,IDN,1926
3,3,IDN,1927
30,30,IDN,1928
31,31,IDN,1929
32,32,IDN,1930
33,33,IDN,1931
34,34,IDN,1932
35,35,IDN,1933
36,36,IDN,1934
4,4,IDN,1935
5,5,IDN,1936
6,6,IDN,1937
7,7,IDN,1938
71,71,IDN,1939
72,72,IDN,1940
73,73,IDN,1941
74,74,IDN,1942
75,75,IDN,1943
76,76,IDN,1944
77,77,IDN,1945
78,78,IDN,1946
79,79,IDN,1947
8,8,IDN,1948
9,9,IDN,1949
NA,NA,IND,1950
IE0,Ie0,IRL,1951
22,Anbar,IRQ,1952
24,Babylon,IRQ,1953
23,Baghdad,IRQ,1954
35,Basrah,IRQ,1955
21,Diyala,IRQ,1956
11,Duhok,IRQ,1957
15,Erbil,IRQ,1958
25,Kerbela,IRQ,1959
14,Kirkuk,IRQ,1960
34,Maysan,IRQ,1961
32,Muthanna,IRQ,1962
12,Nainawa,IRQ,1963
28,Najaf,IRQ,1964
31,Qadisiya,IRQ,1965
27,Salah Al-Deen,IRQ,1966
13,Sulaimaniya,IRQ,1967
33,Thi-Qar,IRQ,1968
26,Wasit,IRQ,1969
7700,Afula,ISR,1970
0070,Ashdod,ISR,1971
7100,Ashkelon,ISR,1972
6200,Bat Yam,ISR,1973
9000,Beer Sheva,ISR,1974
2610,Beit Shemesh,ISR,1975
3780,Beitar Illit,ISR,1976
6100,Bnei Brak,ISR,1977
2600,Eilat,ISR,1978
6300,Givatayim,ISR,1979
6500,Hadera,ISR,1980
4000,Haifa,ISR,1981
6400,Herzliya,ISR,1982
9700,Hod Hasharon,ISR,1983
6600,Holon,ISR,1984
3000,Jerusalem,ISR,1985
6900,Kfar Saba,ISR,1986
6800,Kiryat Ata,ISR,1987
7000,Lod,ISR,1988
3797,Modiin Illit,ISR,1989
1200,Modiin Maccabim-Reut,ISR,1990
9100,Nahariya,ISR,1991
7200,Ness Ziona,ISR,1992
7400,Netanya,ISR,1993
7900,Petah Tikva,ISR,1994
2630,Qiryat Gat,ISR,1995
8700,Raanana,ISR,1996
8600,Ramat Gan,ISR,1997
8500,Ramla,ISR,1998
8300,Rishon Lezion,ISR,1999
2640,Rosh Haayin,ISR,2000
0000,Rural,ISR,2001
8400,Streets,ISR,2002
5000,Tel Aviv Jaffa,ISR,2003
ITC,Itc,ITA,2004
ITF,Itf,ITA,2005
ITG,Itg,ITA,2006
ITH,Ith,ITA,2007
ITI,Iti,ITA,2008
13,Ain Al Basha,JOR,2009
39,Al-Aghwar Al-Janubiyya,JOR,2010
47,Al-Betra,JOR,2011
45,Al-Hasa,JOR,2012
17,Al-Hashimiyah,JOR,2013
49,Al-Husanyniyya,JOR,2014
4,Al-Jamiah,JOR,2015
7,Al-Jiza,JOR,2016
37,Al-Mazar Al-Janubiyya,JOR,2017
8,Al-Mwwqqar,JOR,2018
38,Al-Qasr,JOR,2019
42,Al-Qatraneh,JOR,2020
51,Al-Quairah,JOR,2021
3,Alquesmah,JOR,2022
21,Ar Ramtha,JOR,2023
16,Ar-Rusayfah,JOR,2024
32,Ar-Ruwayshid,JOR,2025
48,Ash-Shibek,JOR,2026
40,Ayy,JOR,2027
31,Badiah Gharbiyah,JOR,2028
30,Badiah Shamaliyah,JOR,2029
23,Bani Knana,JOR,2030
25,Bani Obeid,JOR,2031
44,Birsayra,JOR,2032
12,Dair Alla,JOR,2033
19,Dhiban,JOR,2034
41,Faqqu,JOR,2035
20,Irbid,JOR,2036
35,Kofranjah,JOR,2037
22,Kora,JOR,2038
14,Mahis And Fuheis,JOR,2039
2,Marka,JOR,2040
26,Mazar Shamaliyyeh,JOR,2041
9,Naoor,JOR,2042
34,Qasabah Ajlun,JOR,2043
50,Qasabah Al-Aqabah,JOR,2044
36,Qasabah Al-Karak,JOR,2045
29,Qasabah Al-Mafraq,JOR,2046
43,Qasabah Al-Tafila,JOR,2047
1,Qasabah Amman,JOR,2048
10,Qasabah As-Salt,JOR,2049
15,Qasabah Az-Zarqa,JOR,2050
33,Qasabah Jerash,JOR,2051
46,Qasabah Maan,JOR,2052
18,Qasabah Madaba,JOR,2053
6,Sahab,JOR,2054
11,Shuna Al-Janibiyya,JOR,2055
24,Shuna Shamaliyyeh,JOR,2056
27,Tayybeh,JOR,2057
5,Wadi Al-Sayr,JOR,2058
28,Wastiyyeh,JOR,2059
NA,NA,KEN,2060
2007,2007,KHM,2061
210,210,KHM,2062
211,211,KHM,2063
205,Aek Phnum,KHM,2064
1601,Andoung Meas,KHM,2065
2101,Angkor Borei,KHM,2066
701,Angkor Chey,KHM,2067
1701,Angkor Chum,KHM,2068
1702,Angkor Thum,KHM,2069
2201,Anlong Veaeng,KHM,2070
504,Aoral,KHM,2071
1501,Bakan,KHM,2072
201,Banan,KHM,2073
1703,Banteay Srei,KHM,2074
601,Baray,KHM,2075
501,Basedth,KHM,2076
301,Batheay,KHM,2077
2102,Bati,KHM,2078
1212,Chhbar Ampov,KHM,2079
704,Chum Kiri,KHM,2080
705,Dang Tong,KHM,2081
404,Kampong Leaeng,KHM,2082
306,Kampong Siem,KHM,2083
1403,Kampong Trabaek,KHM,2084
706,Kampong Trach,KHM,2085
405,Kampong Tralach,KHM,2086
212,Kamrieng,KHM,2087
801,Kandal Stueng,KHM,2088
1502,Kandieng,KHM,2089
307,Kang Meas,KHM,2090
1404,Kanhchriech,KHM,2091
1102,Kaoh Nheaek,KHM,2092
802,Kien Svay,KHM,2093
503,Kong Pisei,KHM,2094
1602,Krong Ban Lung,KHM,2095
203,Krong Bat Dambang,KHM,2096
2008,Krong Bavet,KHM,2097
305,Krong Kampong Cham,KHM,2098
403,Krong Kampong Chhnang,KHM,2099
2401,Krong Pailin,KHM,2100
1308,Krong Preah Vihear,KHM,2101
1410,Krong Prey Veaeng,KHM,2102
1505,Krong Pursat,KHM,2103
1105,Krong Saen Monourom,KHM,2104
2204,Krong Samraong,KHM,2105
1710,Krong Siem Reab,KHM,2106
603,Krong Stueng Saen,KHM,2107
1904,Krong Stueng Traeng,KHM,2108
811,Krong Ta Khmau,KHM,2109
805,Leuk Daek,KHM,2110
806,Lvea Aem,KHM,2111
109,Malai,KHM,2112
1405,Me Sang,KHM,2113
1206,Mean Chey,KHM,2114
2507,Memot,KHM,2115
905,Mondol Seima,KHM,2116
102,Mongkol Borei,KHM,2117
206,Moung Ruessei,KHM,2118
807,Mukh Kampul,KHM,2119
505,Odongk,KHM,2120
1103,Ou Reang,KHM,2121
2503,Ou Reang Ov,KHM,2122
1607,Ou Ya Dav,KHM,2123
1104,Pech Chreada,KHM,2124
103,Phnum Srok,KHM,2125
2506,Ponhea Kraek,KHM,2126
1411,Pou Rieng,KHM,2127
1209,Pou Saenchey,KHM,2128
1203,Prampir Meakkakra,KHM,2129
1709,Prasat Bakong,KHM,2130
604,Prasat Ballangk,KHM,2131
605,Prasat Sambour,KHM,2132
1211,Preaek Phnov,KHM,2133
104,Preah Netr Preah,KHM,2134
1409,Preah Sdach,KHM,2135
313,Prey Chhor,KHM,2136
2106,Prey Kabbas,KHM,2137
1802,Prey Nob,KHM,2138
1707,Puok,KHM,2139
2004,Romeas Haek,KHM,2140
207,Rotonak Mondol,KHM,2141
1305,Rovieng,KHM,2142
1207,Ruessei Kaev,KHM,2143
214,Rukhak Kiri,KHM,2144
810,S'ang,KHM,2145
1208,Saensokh,KHM,2146
2402,Sala Krau,KHM,2147
1004,Sambour,KHM,2148
407,Sameakki Mean Chey,KHM,2149
2107,Samraong,KHM,2150
507,Samraong Tong,KHM,2151
208,Sangkae,KHM,2152
1412,Sithor Kandal,KHM,2153
1005,Snuol,KHM,2154
1711,Soutr Nikom,KHM,2155
906,Srae Ambel,KHM,2156
314,Srei Santhor,KHM,2157
608,Stoung,KHM,2158
108,Svay Chek,KHM,2159
2005,Svay Chrum,KHM,2160
1307,Tbaeng Mean Chey,KHM,2161
2502,Tboung Khmum,KHM,2162
1905,Thala Barivat,KHM,2163
907,Thma Bang,KHM,2164
202,Thma Koul,KHM,2165
107,Thma Puok,KHM,2166
508,Thpong,KHM,2167
2109,Tram Kak,KHM,2168
2205,Trapeang Prasat,KHM,2169
2110,Treang,KHM,2170
408,Tuek Phos,KHM,2171
1204,Tuol Kouk,KHM,2172
34,B'hai,LBR,2173
49,Barclayville,LBR,2174
97,Beawor,LBR,2175
129,Belleh,LBR,2176
51,Bleebo,LBR,2177
114,Bodae,LBR,2178
85,Boe & Quilla,LBR,2179
14,Boinsen,LBR,2180
130,Bokomu,LBR,2181
115,Bokon,LBR,2182
39,Bolloh,LBR,2183
131,Bopolu,LBR,2184
46,Buah,LBR,2185
102,Butaw,LBR,2186
92,Buu-Yao,LBR,2187
72,Careysburg,LBR,2188
35,Cavala,LBR,2189
96,Central Rivercess,LBR,2190
118,Chedepo,LBR,2191
21,Commonwealth,LBR,2192
17,District # 1,LBR,2193
18,District # 2,LBR,2194
22,District # 3,LBR,2195
23,District # 4,LBR,2196
82,Doe,LBR,2197
93,Doedain,LBR,2198
40,Dorbor,LBR,2199
4,Dowein,LBR,2200
116,Dugbe River,LBR,2201
43,Dweh,LBR,2202
48,Felo-Jekwi,LBR,2203
94,Fen River,LBR,2204
38,Fenetoe,LBR,2205
61,Firestone,LBR,2206
41,Forpoh,LBR,2207
54,Foya,LBR,2208
5,Fuamah,LBR,2209
81,Garr Bain,LBR,2210
53,Garraway,LBR,2211
24,Garwula,LBR,2212
28,Gbao,LBR,2213
132,Gbarma,LBR,2214
121,Gbeapo,LBR,2215
79,Gbehlay- Geh,LBR,2216
83,Gbi & Doru,LBR,2217
29,Gboe-Ploe,LBR,2218
86,Gbor,LBR,2219
45,Gee,LBR,2220
62,Gibi,LBR,2221
124,Glaro,LBR,2222
32,Glio-Twarbo,LBR,2223
25,Golakonneh,LBR,2224
133,Gounwolaila,LBR,2225
50,Grand Cess Wedabo,LBR,2226
73,Greater Monrovia,LBR,2227
101,Greenville,LBR,2228
66,Gwelekpoken,LBR,2229
71,Harper,LBR,2230
113,Jaedae,LBR,2231
112,Jeadepo,LBR,2232
99,Jo River,LBR,2233
6,Jorquelleh,LBR,2234
108,Juarzon,LBR,2235
63,Kakata,LBR,2236
119,Karforh,LBR,2237
68,Karluway #1,LBR,2238
69,Karluway #2,LBR,2239
1,Klay,LBR,2240
55,Kolahun,LBR,2241
128,Koninga,LBR,2242
30,Konobo,LBR,2243
15,Kpaai,LBR,2244
84,Kparblee,LBR,2245
117,Kpayan,LBR,2246
44,Kpi,LBR,2247
106,Kulu Shaw Boe,LBR,2248
90,Leewehpea-Mahn,LBR,2249
36,Lower Jloh,LBR,2250
64,Mambah Kaba,LBR,2251
89,Meinpea-Mahn,LBR,2252
120,Nanee,LBR,2253
20,Neekreen,LBR,2254
95,Norwein,LBR,2255
47,Nrokwia- Wesidow,LBR,2256
122,Nyenawliken,LBR,2257
127,Nyenebo,LBR,2258
67,Nyorken,LBR,2259
16,Owensgove,LBR,2260
8,Panta,LBR,2261
107,Plahn Nyarn,LBR,2262
70,Pleebo/Sodoken,LBR,2263
26,Porkpa,LBR,2264
123,Potupo,LBR,2265
33,Putu,LBR,2266
111,Pynes Town,LBR,2267
60,Quardu Bondi,LBR,2268
9,Salala,LBR,2269
56,Salayea,LBR,2270
98,Sam Gbalor,LBR,2271
76,Sanniqquellie Mahn,LBR,2272
10,Sanoyeah,LBR,2273
105,Sanquin District # 1,LBR,2274
104,Sanquin District # 3,LBR,2275
103,Sanquin District #2,LBR,2276
125,Sarbo,LBR,2277
110,Seekon,LBR,2278
3,Senjeh,LBR,2279
19,St. John River City,LBR,2280
74,St. Paul River,LBR,2281
11,Suakoko,LBR,2282
2,Suehn Mecca,LBR,2283
31,Tchien,LBR,2284
27,Tewor,LBR,2285
75,Todee,LBR,2286
52,Trenbo,LBR,2287
13,Tukpahbllee,LBR,2288
126,Tuobo,LBR,2289
80,Twan River,LBR,2290
37,Upper Jloh,LBR,2291
57,Vahun,LBR,2292
58,Voinjama,LBR,2293
109,Wedjah,LBR,2294
91,Wee-Gbehy-Mahn,LBR,2295
65,Whojah,LBR,2296
42,Wlogba,LBR,2297
78,Yarmein,LBR,2298
77,Yarpea Mahn,LBR,2299
88,Yarwein Mehnsonnoh,LBR,2300
7,Yeallequelleh,LBR,2301
100,Zartlahn,LBR,2302
87,Zoe-Gbao,LBR,2303
59,Zorzor,LBR,2304
12,Zota,LBR,2305
LT0,Lt0,LTU,2306
LU0,Lu0,LUX,2307
LV0,Lv0,LVA,2308
NA,NA,MAR,2309
NA,NA,MDV,2310
31001,Abalá (Yucatán),MEX,2311
11001,Abasolo (Guanajuato),MEX,2312
19001,Abasolo (Nuevo León),MEX,2313
15001,Acambay De Ruíz Castañeda (México),MEX,2314
18001,Acaponeta (Nayarit),MEX,2315
12001,Acapulco De Juárez (Guerrero),MEX,2316
12076,Acatepec (Guerrero),MEX,2317
20002,Acatlán De Pérez Figueroa (Oaxaca),MEX,2318
21004,Acatzingo (Puebla),MEX,2319
13002,Acaxochitlán (Hidalgo),MEX,2320
30003,Acayucan (Veracruz De Ignacio De La Llave),MEX,2321
15002,Acolman (México),MEX,2322
26001,Aconchi (Sonora),MEX,2323
21005,Acteopan (Puebla),MEX,2324
13003,Actopan (Hidalgo),MEX,2325
15003,Aculco (México),MEX,2326
30006,Acultzingo (Veracruz De Ignacio De La Llave),MEX,2327
05002,Acuña (Coahuila De Zaragoza),MEX,2328
11002,Acámbaro (Guanajuato),MEX,2329
13004,Agua Blanca De Iturbide (Hidalgo),MEX,2330
26002,Agua Prieta (Sonora),MEX,2331
01001,Aguascalientes (Aguascalientes),MEX,2332
25001,Ahome (Sinaloa),MEX,2333
21008,Ahuazotepec (Puebla),MEX,2334
08001,Ahumada (Chihuahua),MEX,2335
21010,Ajalpan (Puebla),MEX,2336
12003,Ajuchitlán Del Progreso (Guerrero),MEX,2337
12004,Alcozauca De Guerrero (Guerrero),MEX,2338
08002,Aldama (Chihuahua),MEX,2339
05003,Allende (Coahuila De Zaragoza),MEX,2340
19004,Allende (Nuevo León),MEX,2341
15005,Almoloya De Juárez (México),MEX,2342
30008,Alpatláhuac (Veracruz De Ignacio De La Llave),MEX,2343
28003,Altamira (Tamaulipas),MEX,2344
07004,Altamirano (Chiapas),MEX,2345
26004,Altar (Sonora),MEX,2346
30010,Altotonga (Veracruz De Ignacio De La Llave),MEX,2347
17001,Amacuzac (Morelos),MEX,2348
15007,Amanalco (México),MEX,2349
07006,Amatenango De La Frontera (Chiapas),MEX,2350
14005,Amatitán (Jalisco),MEX,2351
29001,Amaxac De Guerrero (Tlaxcala),MEX,2352
22001,Amealco De Bonfil (Querétaro),MEX,2353
14006,Ameca (Jalisco),MEX,2354
21015,Amozoc (Puebla),MEX,2355
16004,Angamacutiro (Michoacán De Ocampo),MEX,2356
30015,Angel R. Cabada (Veracruz De Ignacio De La Llave),MEX,2357
25002,Angostura (Sinaloa),MEX,2358
19005,Anáhuac (Nuevo León),MEX,2359
13008,Apan (Hidalgo),MEX,2360
11005,Apaseo El Grande (Guanajuato),MEX,2361
15010,Apaxco (México),MEX,2362
29002,Apetatitlán De Antonio Carvajal (Tlaxcala),MEX,2363
29005,Apizaco (Tlaxcala),MEX,2364
19006,Apodaca (Nuevo León),MEX,2365
32001,Apozol (Zacatecas),MEX,2366
08004,Aquiles Serdán (Chihuahua),MEX,2367
14008,Arandas (Jalisco),MEX,2368
12007,Arcelia (Guerrero),MEX,2369
16009,Ario (Michoacán De Ocampo),MEX,2370
06001,Armería (Colima),MEX,2371
22003,Arroyo Seco (Querétaro),MEX,2372
05004,Arteaga (Coahuila De Zaragoza),MEX,2373
01002,Asientos (Aguascalientes),MEX,2374
20005,Asunción Ixtaltepec (Oaxaca),MEX,2375
15011,Atenco (México),MEX,2376
14011,Atengo (Jalisco),MEX,2377
14012,Atenguillo (Jalisco),MEX,2378
26007,Atil (Sonora),MEX,2379
15013,Atizapán De Zaragoza (México),MEX,2380
17002,Atlatlahucan (Morelos),MEX,2381
15015,Atlautla (México),MEX,2382
21019,Atlixco (Puebla),MEX,2383
12010,Atlixtac (Guerrero),MEX,2384
13013,Atotonilco De Tula (Hidalgo),MEX,2385
14013,Atotonilco El Alto (Jalisco),MEX,2386
13012,Atotonilco El Grande (Hidalgo),MEX,2387
30021,Atoyac (Veracruz De Ignacio De La Llave),MEX,2388
12011,Atoyac De Álvarez (Guerrero),MEX,2389
17003,Axochiapan (Morelos),MEX,2390
24053,Axtla De Terrazas (San Luis Potosí),MEX,2391
17004,Ayala (Morelos),MEX,2392
15017,Ayapango (México),MEX,2393
20398,Ayoquezco De Aldama (Oaxaca),MEX,2394
14017,Ayutla (Jalisco),MEX,2395
12012,Ayutla De Los Libres (Guerrero),MEX,2396
09002,Azcapotzalco (Ciudad De México),MEX,2397
26008,Bacadéhuachi (Sonora),MEX,2398
23010,Bacalar (Quintana Roo),MEX,2399
08006,Bachíniva (Chihuahua),MEX,2400
25003,Badiraguato (Sinaloa),MEX,2401
18020,Bahía De Banderas (Nayarit),MEX,2402
27001,Balancán (Tabasco),MEX,2403
08007,Balleza (Chihuahua),MEX,2404
30026,Banderilla (Veracruz De Ignacio De La Llave),MEX,2405
08008,Batopilas De Manuel Gómez Morín (Chihuahua),MEX,2406
09014,Benito Juárez (Ciudad De México),MEX,2407
23005,Benito Juárez (Quintana Roo),MEX,2408
26071,Benito Juárez (Sonora),MEX,2409
30028,Boca Del Río (Veracruz De Ignacio De La Llave),MEX,2410
07013,Bochil (Chiapas),MEX,2411
08009,Bocoyna (Chihuahua),MEX,2412
31006,Buctzotz (Yucatán),MEX,2413
08010,Buenaventura (Chihuahua),MEX,2414
12015,Buenavista De Cuéllar (Guerrero),MEX,2415
28005,Burgos (Tamaulipas),MEX,2416
28006,Bustamante (Tamaulipas),MEX,2417
26012,Bácum (Sonora),MEX,2418
26017,Caborca (Sonora),MEX,2419
07015,Cacahoatán (Chiapas),MEX,2420
31007,Cacalchén (Yucatán),MEX,2421
22004,Cadereyta De Montes (Querétaro),MEX,2422
19009,Cadereyta Jiménez (Nuevo León),MEX,2423
26018,Cajeme (Sonora),MEX,2424
04010,Calakmul (Campeche),MEX,2425
32005,Calera (Zacatecas),MEX,2426
15018,Calimaya (México),MEX,2427
04001,Calkiní (Campeche),MEX,2428
31008,Calotmul (Yucatán),MEX,2429
29006,Calpulalpan (Tlaxcala),MEX,2430
01003,Calvillo (Aguascalientes),MEX,2431
08011,Camargo (Chihuahua),MEX,2432
04002,Campeche (Campeche),MEX,2433
26019,Cananea (Sonora),MEX,2434
10001,Canatlán (Durango),MEX,2435
04011,Candelaria (Campeche),MEX,2436
20247,Capulálpam De Méndez (Oaxaca),MEX,2437
13015,Cardonal (Hidalgo),MEX,2438
08012,Carichí (Chihuahua),MEX,2439
04003,Carmen (Campeche),MEX,2440
30031,Carrillo Puerto (Veracruz De Ignacio De La Llave),MEX,2441
05006,Castaños (Coahuila De Zaragoza),MEX,2442
32006,Cañitas De Felipe Pescador (Zacatecas),MEX,2443
11007,Celaya (Guanajuato),MEX,2444
31012,Cenotillo (Yucatán),MEX,2445
27003,Centla (Tabasco),MEX,2446
27004,Centro (Tabasco),MEX,2447
19011,Cerralvo (Nuevo León),MEX,2448
24008,Cerritos (San Luis Potosí),MEX,2449
30034,Cerro Azul (Veracruz De Ignacio De La Llave),MEX,2450
32009,Chalchihuites (Zacatecas),MEX,2451
15025,Chalco (México),MEX,2452
04004,Champotón (Campeche),MEX,2453
15026,Chapa De Mota (México),MEX,2454
31018,Chapab (Yucatán),MEX,2455
14030,Chapala (Jalisco),MEX,2456
13017,Chapantongo (Hidalgo),MEX,2457
13018,Chapulhuacán (Hidalgo),MEX,2458
31019,Chemax (Yucatán),MEX,2459
07026,Chenalhó (Chiapas),MEX,2460
07027,Chiapa De Corzo (Chiapas),MEX,2461
29010,Chiautempan (Tlaxcala),MEX,2462
15028,Chiautla (México),MEX,2463
21048,Chiautzingo (Puebla),MEX,2464
31021,Chichimilá (Yucatán),MEX,2465
15029,Chicoloapan (México),MEX,2466
07030,Chicomuselo (Chiapas),MEX,2467
15030,Chiconcuac (México),MEX,2468
21051,Chietla (Puebla),MEX,2469
21053,Chignahuapan (Puebla),MEX,2470
08019,Chihuahua (Chihuahua),MEX,2471
12028,Chilapa De Álvarez (Guerrero),MEX,2472
16025,Chilchota (Michoacán De Ocampo),MEX,2473
12029,Chilpancingo De Los Bravo (Guerrero),MEX,2474
07031,Chilón (Chiapas),MEX,2475
15031,Chimalhuacán (México),MEX,2476
19013,China (Nuevo León),MEX,2477
30062,Chocamán (Veracruz De Ignacio De La Llave),MEX,2478
25007,Choix (Sinaloa),MEX,2479
08020,Chínipas (Chihuahua),MEX,2480
14022,Cihuatlán (Jalisco),MEX,2481
07017,Cintalapa De Figueroa (Chiapas),MEX,2482
24010,Ciudad Del Maíz (San Luis Potosí),MEX,2483
24011,Ciudad Fernández (San Luis Potosí),MEX,2484
28009,Ciudad Madero (Tamaulipas),MEX,2485
24013,Ciudad Valles (San Luis Potosí),MEX,2486
19012,Ciénega De Flores (Nuevo León),MEX,2487
15020,Coacalco De Berriozábal (México),MEX,2488
16014,Coahuayana (Michoacán De Ocampo),MEX,2489
12016,Coahuayutla De José María Izazaga (Guerrero),MEX,2490
20015,Coatecas Altas (Oaxaca),MEX,2491
30038,Coatepec (Veracruz De Ignacio De La Llave),MEX,2492
17005,Coatlán Del Río (Morelos),MEX,2493
30039,Coatzacoalcos (Veracruz De Ignacio De La Llave),MEX,2494
30040,Coatzintla (Veracruz De Ignacio De La Llave),MEX,2495
06002,Colima (Colima),MEX,2496
22005,Colón (Querétaro),MEX,2497
06003,Comala (Colima),MEX,2498
27005,Comalcalco (Tabasco),MEX,2499
30043,Comapa (Veracruz De Ignacio De La Llave),MEX,2500
07019,Comitán De Domínguez (Chiapas),MEX,2501
03001,Comondú (Baja California Sur),MEX,2502
11009,Comonfort (Guanajuato),MEX,2503
18004,Compostela (Nayarit),MEX,2504
25004,Concordia (Sinaloa),MEX,2505
31013,Conkal (Yucatán),MEX,2506
16017,Contepec (Michoacán De Ocampo),MEX,2507
29018,Contla De Juan Cuamatzi (Tlaxcala),MEX,2508
12020,Copanatoyac (Guerrero),MEX,2509
06004,Coquimatlán (Colima),MEX,2510
21034,Coronango (Puebla),MEX,2511
22006,Corregidora (Querétaro),MEX,2512
25005,Cosalá (Sinaloa),MEX,2513
30045,Cosamaloapan De Carpio (Veracruz De Ignacio De La Llave),MEX,2514
20021,Cosolapa (Oaxaca),MEX,2515
30048,Cosoleacaque (Veracruz De Ignacio De La Llave),MEX,2516
30049,Cotaxtla (Veracruz De Ignacio De La Llave),MEX,2517
16019,Cotija (Michoacán De Ocampo),MEX,2518
24014,Coxcatlán (San Luis Potosí),MEX,2519
09003,Coyoacán (Ciudad De México),MEX,2520
15023,Coyotepec (México),MEX,2521
12021,Coyuca De Benítez (Guerrero),MEX,2522
12022,Coyuca De Catalán (Guerrero),MEX,2523
23001,Cozumel (Quintana Roo),MEX,2524
09004,Cuajimalpa De Morelos (Ciudad De México),MEX,2525
12023,Cuajinicuilapa (Guerrero),MEX,2526
29008,Cuapiaxtla (Tlaxcala),MEX,2527
08017,Cuauhtémoc (Chihuahua),MEX,2528
09015,Cuauhtémoc (Ciudad De México),MEX,2529
06005,Cuauhtémoc (Colima),MEX,2530
32008,Cuauhtémoc (Zacatecas),MEX,2531
13016,Cuautepec De Hinojosa (Hidalgo),MEX,2532
15024,Cuautitlán (México),MEX,2533
14027,Cuautitlán De García Barragán (Jalisco),MEX,2534
15121,Cuautitlán Izcalli (México),MEX,2535
17006,Cuautla (Morelos),MEX,2536
21041,Cuautlancingo (Puebla),MEX,2537
29009,Cuaxomulco (Tlaxcala),MEX,2538
10004,Cuencamé (Durango),MEX,2539
17007,Cuernavaca (Morelos),MEX,2540
30053,Cuitláhuac (Veracruz De Ignacio De La Llave),MEX,2541
16020,Cuitzeo (Michoacán De Ocampo),MEX,2542
25006,Culiacán (Sinaloa),MEX,2543
27006,Cunduacán (Tabasco),MEX,2544
08018,Cusihuiriachi (Chihuahua),MEX,2545
12027,Cutzamala De Pinzón (Guerrero),MEX,2546
27002,Cárdenas (Tabasco),MEX,2547
30044,Córdoba (Veracruz De Ignacio De La Llave),MEX,2548
18009,Del Nayar (Nayarit),MEX,2549
08021,Delicias (Chihuahua),MEX,2550
19014,Doctor Arroyo (Nuevo León),MEX,2551
19016,Doctor González (Nuevo León),MEX,2552
11014,Dolores Hidalgo Cuna De La Independencia Nacional (Guanajuato),MEX,2553
15032,Donato Guerra (México),MEX,2554
10005,Durango (Durango),MEX,2555
31027,Dzidzantún (Yucatán),MEX,2556
24016,Ebano (San Luis Potosí),MEX,2557
15033,Ecatepec De Morelos (México),MEX,2558
16030,Ecuandureo (Michoacán De Ocampo),MEX,2559
12075,Eduardo Neri (Guerrero),MEX,2560
29007,El Carmen Tequexquitla (Tlaxcala),MEX,2561
25010,El Fuerte (Sinaloa),MEX,2562
30205,El Higo (Veracruz De Ignacio De La Llave),MEX,2563
01010,El Llano (Aguascalientes),MEX,2564
28021,El Mante (Tamaulipas),MEX,2565
22011,El Marqués (Querétaro),MEX,2566
24058,El Naranjo (San Luis Potosí),MEX,2567
10018,El Oro (Durango),MEX,2568
15064,El Oro (México),MEX,2569
14070,El Salto (Jalisco),MEX,2570
25008,Elota (Sinaloa),MEX,2571
17008,Emiliano Zapata (Morelos),MEX,2572
27007,Emiliano Zapata (Tabasco),MEX,2573
29046,Emiliano Zapata (Tlaxcala),MEX,2574
26025,Empalme (Sonora),MEX,2575
14035,Encarnación De Díaz (Jalisco),MEX,2576
02001,Ensenada (Baja California),MEX,2577
21062,Epatlán (Puebla),MEX,2578
13022,Epazoyucan (Hidalgo),MEX,2579
16031,Epitacio Huerta (Michoacán De Ocampo),MEX,2580
25009,Escuinapa (Sinaloa),MEX,2581
04009,Escárcega (Campeche),MEX,2582
31032,Espita (Yucatán),MEX,2583
26026,Etchojoa (Sonora),MEX,2584
22007,Ezequiel Montes (Querétaro),MEX,2585
23002,Felipe Carrillo Puerto (Quintana Roo),MEX,2586
30068,Fortín (Veracruz De Ignacio De La Llave),MEX,2587
05009,Francisco I. Madero (Coahuila De Zaragoza),MEX,2588
13023,Francisco I. Madero (Hidalgo),MEX,2589
32010,Fresnillo (Zacatecas),MEX,2590
05010,Frontera (Coahuila De Zaragoza),MEX,2591
07034,Frontera Comalapa (Chiapas),MEX,2592
07035,Frontera Hidalgo (Chiapas),MEX,2593
16033,Gabriel Zamora (Michoacán De Ocampo),MEX,2594
08023,Galeana (Chihuahua),MEX,2595
19017,Galeana (Nuevo León),MEX,2596
19018,García (Nuevo León),MEX,2597
32012,Genaro Codina (Zacatecas),MEX,2598
05011,General Cepeda (Coahuila De Zaragoza),MEX,2599
19021,General Escobedo (Nuevo León),MEX,2600
21065,General Felipe Ángeles (Puebla),MEX,2601
32016,General Pánfilo Natera (Zacatecas),MEX,2602
10006,General Simón Bolívar (Durango),MEX,2603
19022,General Terán (Nuevo León),MEX,2604
19023,General Treviño (Nuevo León),MEX,2605
28012,González (Tamaulipas),MEX,2606
14039,Guadalajara (Jalisco),MEX,2607
24017,Guadalcázar (San Luis Potosí),MEX,2608
08028,Guadalupe (Chihuahua),MEX,2609
19026,Guadalupe (Nuevo León),MEX,2610
32017,Guadalupe (Zacatecas),MEX,2611
08029,Guadalupe Y Calvo (Chihuahua),MEX,2612
