district,District,Country,District_code
6,6,BGD,207
61,61,BGD,208
64,64,BGD,209
65,65,BGD,210
67,67,BGD,211
68,68,BGD,212
69,69,BGD,213
70,70,BGD,214
72,72,BGD,215
73,73,BGD,216
75,75,BGD,217
76,76,BGD,218
77,77,BGD,219
78,78,BGD,220
79,79,BGD,221
81,81,BGD,222
82,82,BGD,223
84,84,BGD,224
85,85,BGD,225
86,86,BGD,226
87,87,BGD,227
88,88,BGD,228
89,89,BGD,229
9,9,BGD,230
90,90,BGD,231
91,91,BGD,232
93,93,BGD,233
94,94,BGD,234
BG3,Bg3,BGR,235
BG4,Bg4,BGR,236
8,Beni,BOL,237
1,Chuquisaca,BOL,238
3,Cochabamba,BOL,239
2,La Paz,BOL,240
4,Oruro,BOL,241
9,Pando,BOL,242
5,Potosí,BOL,243
7,Santa Cruz,BOL,244
6,Tarija,BOL,245
1201,Acre_capital,BRA,246
1202,Acre_resto_uf,BRA,247
1203,Acre_rural,BRA,248
1204,Acre_rural,BRA,249
2702,Alagoas_capital,BRA,250
2701,Alagoas_capital,BRA,251
2703,Alagoas_capital,BRA,252
2704,Alagoas_resto_rm,BRA,253
2707,Alagoas_resto_uf,BRA,254
2706,Alagoas_resto_uf,BRA,255
2705,Alagoas_resto_uf,BRA,256
2708,Alagoas_resto_uf,BRA,257
2711,Alagoas_rural,BRA,258
2712,Alagoas_rural,BRA,259
2710,Alagoas_rural,BRA,260
2713,Alagoas_rural,BRA,261
2709,Alagoas_rural,BRA,262
1601,Amapá_capital,BRA,263
1602,Amapá_capital,BRA,264
1603,Amapá_resto_rm,BRA,265
1604,Amapá_resto_uf,BRA,266
1605,Amapá_rural,BRA,267
1607,Amapá_rural,BRA,268
1606,Amapá_rural,BRA,269
1302,Amazonas_capital,BRA,270
1305,Amazonas_capital,BRA,271
1304,Amazonas_capital,BRA,272
1301,Amazonas_capital,BRA,273
1306,Amazonas_capital,BRA,274
1303,Amazonas_capital,BRA,275
1307,Amazonas_resto_rm,BRA,276
1310,Amazonas_resto_uf,BRA,277
1309,Amazonas_resto_uf,BRA,278
1308,Amazonas_resto_uf,BRA,279
1315,Amazonas_rural,BRA,280
1316,Amazonas_rural,BRA,281
1314,Amazonas_rural,BRA,282
1313,Amazonas_rural,BRA,283
1311,Amazonas_rural,BRA,284
1312,Amazonas_rural,BRA,285
2903,Bahia_capital,BRA,286
2901,Bahia_capital,BRA,287
2904,Bahia_capital,BRA,288
2905,Bahia_capital,BRA,289
2902,Bahia_capital,BRA,290
2906,Bahia_capital,BRA,291
2908,Bahia_resto_rm,BRA,292
2907,Bahia_resto_rm,BRA,293
2909,Bahia_resto_rm,BRA,294
2914,Bahia_resto_uf,BRA,295
2923,Bahia_resto_uf,BRA,296
2916,Bahia_resto_uf,BRA,297
2915,Bahia_resto_uf,BRA,298
2910,Bahia_resto_uf,BRA,299
2919,Bahia_resto_uf,BRA,300
2911,Bahia_resto_uf,BRA,301
2917,Bahia_resto_uf,BRA,302
2920,Bahia_resto_uf,BRA,303
2924,Bahia_resto_uf,BRA,304
2922,Bahia_resto_uf,BRA,305
2925,Bahia_resto_uf,BRA,306
2913,Bahia_resto_uf,BRA,307
2921,Bahia_resto_uf,BRA,308
2918,Bahia_resto_uf,BRA,309
2912,Bahia_resto_uf,BRA,310
2933,Bahia_rural,BRA,311
2939,Bahia_rural,BRA,312
2936,Bahia_rural,BRA,313
2928,Bahia_rural,BRA,314
2929,Bahia_rural,BRA,315
2935,Bahia_rural,BRA,316
2932,Bahia_rural,BRA,317
2938,Bahia_rural,BRA,318
2940,Bahia_rural,BRA,319
2937,Bahia_rural,BRA,320
2941,Bahia_rural,BRA,321
2942,Bahia_rural,BRA,322
2931,Bahia_rural,BRA,323
2930,Bahia_rural,BRA,324
2927,Bahia_rural,BRA,325
2926,Bahia_rural,BRA,326
2934,Bahia_rural,BRA,327
2304,Ceará_capital,BRA,328
2301,Ceará_capital,BRA,329
2303,Ceará_capital,BRA,330
2305,Ceará_capital,BRA,331
2302,Ceará_capital,BRA,332
2306,Ceará_capital,BRA,333
2309,Ceará_resto_rm,BRA,334
2307,Ceará_resto_rm,BRA,335
2308,Ceará_resto_rm,BRA,336
2317,Ceará_resto_uf,BRA,337
2316,Ceará_resto_uf,BRA,338
2312,Ceará_resto_uf,BRA,339
2311,Ceará_resto_uf,BRA,340
2320,Ceará_resto_uf,BRA,341
2313,Ceará_resto_uf,BRA,342
2310,Ceará_resto_uf,BRA,343
2315,Ceará_resto_uf,BRA,344
2318,Ceará_resto_uf,BRA,345
2319,Ceará_resto_uf,BRA,346
2314,Ceará_resto_uf,BRA,347
2329,Ceará_rural,BRA,348
2321,Ceará_rural,BRA,349
2323,Ceará_rural,BRA,350
2325,Ceará_rural,BRA,351
2330,Ceará_rural,BRA,352
2322,Ceará_rural,BRA,353
2324,Ceará_rural,BRA,354
2326,Ceará_rural,BRA,355
2327,Ceará_rural,BRA,356
2328,Ceará_rural,BRA,357
5304,Distrito Federal_df_urbano,BRA,358
5305,Distrito Federal_df_urbano,BRA,359
5301,Distrito Federal_df_urbano,BRA,360
5306,Distrito Federal_df_urbano,BRA,361
5302,Distrito Federal_df_urbano,BRA,362
5303,Distrito Federal_df_urbano,BRA,363
5307,Distrito Federal_rural,BRA,364
5308,Distrito Federal_rural,BRA,365
3202,Espírito Santo_capital,BRA,366
3201,Espírito Santo_capital,BRA,367
3204,Espírito Santo_resto_rm,BRA,368
3203,Espírito Santo_resto_rm,BRA,369
3205,Espírito Santo_resto_rm,BRA,370
3206,Espírito Santo_resto_uf,BRA,371
3208,Espírito Santo_resto_uf,BRA,372
3207,Espírito Santo_resto_uf,BRA,373
3211,Espírito Santo_resto_uf,BRA,374
3209,Espírito Santo_resto_uf,BRA,375
3210,Espírito Santo_resto_uf,BRA,376
3215,Espírito Santo_rural,BRA,377
3213,Espírito Santo_rural,BRA,378
3212,Espírito Santo_rural,BRA,379
3214,Espírito Santo_rural,BRA,380
5201,Goiás_capital,BRA,381
5202,Goiás_capital,BRA,382
5203,Goiás_capital,BRA,383
5204,Goiás_resto_rm,BRA,384
5205,Goiás_resto_rm,BRA,385
5206,Goiás_resto_rm,BRA,386
5207,Goiás_resto_uf,BRA,387
5216,Goiás_resto_uf,BRA,388
5208,Goiás_resto_uf,BRA,389
5217,Goiás_resto_uf,BRA,390
5212,Goiás_resto_uf,BRA,391
5211,Goiás_resto_uf,BRA,392
5213,Goiás_resto_uf,BRA,393
5215,Goiás_resto_uf,BRA,394
5209,Goiás_resto_uf,BRA,395
5214,Goiás_resto_uf,BRA,396
5210,Goiás_resto_uf,BRA,397
5225,Goiás_rural,BRA,398
5219,Goiás_rural,BRA,399
5220,Goiás_rural,BRA,400
5224,Goiás_rural,BRA,401
5221,Goiás_rural,BRA,402
5223,Goiás_rural,BRA,403
5222,Goiás_rural,BRA,404
5218,Goiás_rural,BRA,405
2101,Maranhão_capital,BRA,406
2102,Maranhão_capital,BRA,407
2103,Maranhão_capital,BRA,408
2104,Maranhão_resto_rm,BRA,409
2107,Maranhão_resto_uf,BRA,410
2109,Maranhão_resto_uf,BRA,411
2110,Maranhão_resto_uf,BRA,412
2108,Maranhão_resto_uf,BRA,413
2106,Maranhão_resto_uf,BRA,414
2105,Maranhão_resto_uf,BRA,415
2112,Maranhão_resto_uf,BRA,416
2111,Maranhão_resto_uf,BRA,417
2113,Maranhão_resto_uf,BRA,418
2119,Maranhão_rural,BRA,419
2117,Maranhão_rural,BRA,420
2123,Maranhão_rural,BRA,421
2121,Maranhão_rural,BRA,422
2124,Maranhão_rural,BRA,423
2120,Maranhão_rural,BRA,424
2116,Maranhão_rural,BRA,425
2122,Maranhão_rural,BRA,426
2125,Maranhão_rural,BRA,427
2114,Maranhão_rural,BRA,428
2115,Maranhão_rural,BRA,429
2118,Maranhão_rural,BRA,430
5002,Mato Grosso Do Sul_capital,BRA,431
5001,Mato Grosso Do Sul_capital,BRA,432
5003,Mato Grosso Do Sul_capital,BRA,433
5006,Mato Grosso Do Sul_resto_uf,BRA,434
5008,Mato Grosso Do Sul_resto_uf,BRA,435
5007,Mato Grosso Do Sul_resto_uf,BRA,436
5009,Mato Grosso Do Sul_resto_uf,BRA,437
5004,Mato Grosso Do Sul_resto_uf,BRA,438
5005,Mato Grosso Do Sul_resto_uf,BRA,439
5012,Mato Grosso Do Sul_rural,BRA,440
